TaskID,TaskName,Category,Duration,RequiredSkills,PreferredPhases,MaxConcurrent
T1,Website Redesign,frontend,3,"JavaScript,React,CSS","1-3",2
T2,Database Migration,backend,2,"Python,PostgreSQL","2-3",1
T3,API Development,backend,4,"Node.js,Express","1-4",3
T4,Mobile App UI,mobile,2,"Swift,iOS","3-4",2
T5,Android Development,mobile,5,"Kotlin,Android","1-5",2
T6,E-commerce Platform,fullstack,6,"PHP,Laravel,MySQL","1-6",1
T7,Data Analytics Dashboard,data,3,"Python,Machine Learning","2-4",2
T8,Cloud Migration,devops,4,"AWS,Kubernetes,Docker","1-4",1
T9,Quality Assurance,testing,2,"QA,Selenium","4-5",3
T10,User Experience Design,design,3,"UI/UX,Figma","1-3",2
T11,Performance Optimization,backend,2,"Go,PostgreSQL","3-4",2
T12,Security Audit,security,3,"Security,Penetration Testing","2-4",1
T13,CI/CD Pipeline,devops,2,"DevOps,Jenkins,Docker","1-2",2
T14,Machine Learning Model,data,4,"Python,TensorFlow,Machine Learning","2-5",1
T15,Content Management System,fullstack,5,"TypeScript,Angular,MongoDB","1-5",2
T16,Payment Integration,backend,2,"C#,.NET,Payment APIs","3-4",2
T17,Real-time Chat Feature,fullstack,3,"JavaScript,WebSocket,Node.js","2-4",1
T18,Data Visualization,data,2,"Python,D3.js,Visualization","3-4",2
T19,Microservices Architecture,backend,6,"Java,Spring,Microservices","1-6",1
T20,Progressive Web App,frontend,4,"JavaScript,PWA,Service Workers","2-5",2
T21,Automated Testing Suite,testing,3,"QA,Cypress,Automation","1-3",2
T22,Load Balancing Setup,devops,2,"DevOps,Load Balancing,AWS","4-5",1